"city model","city information model","3d city model","3d urban modeling","city models","citygml","city","city scale","cim","3d urban modeling","scènes urbaines","3d city modelling","3d model","urban scenes","urban model","urban scene","3d city models","cities and towns","modèles de ville",,,,,,,,,,,,,,,,,,,,,,,,,
"citizen science","volunteered geographic information","cityzen science","vgi","crowdsourcing","citizen sensing","citizen science","community science","crowd and community sourcing","crowd-sourced","crowdsourced gnss traces","crowdsourced gps traces","crowdsourced landmarks","crowdsourced routes","public-participation","information géographique volontaire","wikipédia","wikipedia","cycling openstreetmap data quality mobility","openstreetmap","open- streetmap",,,,,,,,,,,,,,,,,,,,,,,
"classification","classification methods","classification (of information)","image classification","classification algorithm","automated classification","classification models","classification results","classification tasks","classification supervisée","classifications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"climate","climate change mitigation","climate data","climate information","climate modeling","climate monitoring","climate models","climate change","urban climate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data","large dataset","data set","large datasets","big data","dataset","data quality assessment","spatial data","benchmark datasets","database","high-dimensional data","datasets","large datasets hci/interfaces","données géographiques","base de donnees","base de données","benchmarking","benchmark",,,,,,,,,,,,,,,,,,,,,,,,,,
"decision making",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"deep learning","recurrent neural networks","convolutional neural networks","artificial neural networks","artificial neural network","neural-networks","deep neural networks","network architecture","neural-network","deep learning","neural networks","pattern-recognition","pattern recognition","generative adversarial networks","cnn","generative adversarial network","apprentissage profond","self-supervised learning","semi-supervised learning","self-attention","3d deep learning","u-net","transferability","convolution graph neural network","graph convolutional network","réseau convolutif de graphe","apprentissage profond 3d","vision-language models","nerf","neural network","transférabilité",,,,,,,,,,,,,
"digital humanities","computational humanities","computational humanity","heritage","digital heritage","cultural heritage","cultural heritages","human","archival image","archive","audiovisual archive","humanities","conservation","humanités numériques","document image analysis","archives","analyse de documents","métadonnées archivistiques","digital humanities and gis","heritage science","analyse de document","social source","document images","document analysis",,,,,,,,,,,,,,,,,,,,
"digital twin","digital twins","digital twins dt","jumeau numérique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"displacement","displacement measurement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dsm/dtm","elevation","digital elevation models","elevation data","digital elevation model","digital terrain model","digital surface models","digital elevation model (dem)","digital surface model (dsm)","digital surface model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"earthquake","postseismic deformation","sumatra-andaman earthquake","central italy earthquakes","coseismic","tectonics","earthquake event","slab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"energy","energy use","energy minimization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"environment","environmental management","environmental protection","environments","environmental monitoring","biodiversity","sea","ocean","water","continental water","shallow waters","snow water equivalent","water productivity","water storage","urban environment","urban environments","rivers","drought","natural disaster",,,,,,,,,,,,,,,,,,,,,,,,,
"error","systematic errors","systematic-error","errors","error detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"forest","forestry","tropical forest","deforestation","boreal forest","forests","amazon forest","canopy","canopy structure","canopy model","rainforests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"integration","data fusion","fusion de données","data-fusion","data integration","fusion","intégration de données","fusion de données",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fuzzy logic","logique floue","dempster–shafer theory","theorie des fonctions de croyance","dempster-shafer","fuzzy object representation","theory of belief functions","evidence theory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"generalization","map generalization","generalisation","cartographic generalization","généralisation","cartographic generalisation","généralisation cartographique","map generalisation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"generation","generate","mesh generation","image generation","centerline generation","dsm generation","text generation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"geocoding","gazeteer","place name","géolocalisation d'images multi-date","geolocation","gazetteer","landmark","landmarks","numbering","addresses","adresses","address",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"geohistory","geohistorical data","geohistorical knowledge base","geohistorical knowledge graph","geohistorical networks","geohistorical objects","géohistorique","graphe de connaissances géohistorique","graphe de connaisssances géohistorique","intégration de données géohistoriques","réseaux géohistoriques","données géohistoriques","géohistorique","visualisation spatio-temporelle geohistorical knowledge graph","geohistorical referential","référentiel géohistorique","historical documents","historical maps","history","historical images","données historiques","geo-historical data","geo-historical data integration","données géo-historiques urbaines","spatial history","histoire spatiale","graphe de connaissances géohistoriques","indexing and retrieval of historical data","historical visual sources","research and retrieval of historical data","images historiques","historical aerial photographs","historical photographs","history of cartography","historical dataset","données historiques","histoire","cartographic heritage into the digital","cadastre napoléonien","old map quality","land registry","photographies aériennes anciennes","histoire de la cartographie","historical data"
"geometry","computational geometry","geometry analysis","complexes simpliciaux","2d arrangement","spatial partitioning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"georeferencing","géoréférencement","géoréférencement indirect","données géoréférencées","indirect georeferencing","ground control points","indirect spatial referential","référentiel spatial indirect","direct georeferencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"localisation"," localization"," localisation basée image","localisation visuelle","visual geo-localization","visual localization","géolocalisation","géolocalisation d'images multi-date","geolocation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gis","geographical information","geographical information systems","geographic information systems","geographic information","geographics","giscience","sig","geographic data","geographical data","geography-data processing","information géographique","geodata","geomatics","géomatique outils & méthodes","geomatic","géomatique","geographic database","geographic vector data","geographic reference dataset","vector data processing","données géospatiales","geographical information systems gis",,,,,,,,,,,,,,,,,,,,,
"gps / gnss","global positioning system","global navigation positioning system","global navigation satellite systems","gps","gps track","interpolate gps tracks","segmenting gps tracks","gps trajectories","trajectoires gps","véhicules traceurs","global positioning system gps","geolocalisation et navigation par un systeme de satellites - gnss","gnss","global positioning system gps","imagerie par satellite","gnss traces",,,,,,,,,,,,,,,,,,,,,,,,,,,
"graph","graph theory","graphe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"harmonisation","harmonization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"health","health data","santé","alimentation","diet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"image","imagery","image features","image synthesis","image processing","image analysis","stereo image processing","image enhancement","image retrieval","cbir","content based retrieval","content based image retrieval","content-based image retrieval","photography","analog photography","image content","image correlations","image descriptions","image descriptors","image quality","image sensors","image-based localizations","image-based rendering","traitement d'image","extraction d'information","feature extraction","feature selection","image based rendering","information extraction","raster","extraction d'informations",,,,,,,,,,,,,
"information systems","information management","information use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"interaction","human-machine interaction","map interactions","mouse tracking","human - machine interaction","user interactions","user interaction","interaction utilisateur","fluid interaction","human computer interaction","interaction homme-machine","interactions","interactions modelling","interaction-oriented design","human-machine interaction","interactive maps",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"knowledge","knowledge acquisition","knowledge structures","knowledge graph","knowledge acquisition","représentation des connaissances","graphes de connaissances géohistoriques","knowledge representation","graphe de connaissances","connaissance","spatial knowledge","spatial knowledge representation","représentation de connaissances","gestion de connaissances","urban knowledge","graphes de connaissances",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lulc","land use/cover","land use","land cover","land cover mapping","land use and land cover","land cover maps","land-cover change","land-cover classification","land-use","land-cover","cover","land use change","cover change detection","land use classification","occupation du sol","land-cover mapping","corine land cover","land use data","land use land cover data","land use monitoring","land use update","land-use mapping","lulc","lulc data production","classification d'usage des sols","classification de l'usage des sols",,,,,,,,,,,,,,,,,
"language","language model","language processing techniques","natural languages","natural language processing systems","text","nlp","natural language processing","traitement automatique des langues","corpus oral","traitement automatique de la langue","extraction de connaissances à partir de textes","traitement automatique de la langue tal","traitement automatique du langage naturel","traitement automatique de la langue naturelle","traitement automatique du langage","tal","taln","llm","large language model llm",,,,,,,,,,,,,,,,,,,,,,,,
"machine learning","machine-learning","learning systems","clustering algorithms","supervised learning","learning methods","learning models","learning-based methods","active learning","learning","machine learning methods","random forest","random forests","random forest classifier","random forest classification","decision","decision trees","clusterings","apprentissage automatique","st-dbscan","clustering","apprentissage",,,,,,,,,,,,,,,,,,,,,,
"maritime ","environnement maritime côtier","maritime environment","instructions nautiques","nautical charts","maritime and coastal geographic features","maritime data","coastal maritime navigation","navigation maritime côtière","maritime transport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"matching","appariement","feature matching","data and map matching","data matching process","geographic area matching","graph matching","instances matching","map-matching","matching geospatial vector data","spatio-temporal data matching","data matching","appariement de zones géographiques","appariement spatio-temporel","landmarks alignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mcmc","rjmcmc","rj-mcmc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mobile mapping","cartographie mobile","mobile mapping images","mobile cartography","mobile mapping system","mobile mapping systems","mobile sensors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mobility","mobile phone","mobilité","mobilité animale","mobilité quotidienne","mobilités","mobility survey","modal shift","modality fusion","téléphone mobile","mobile phone data","traffic simulation","travel survey","déplacement","déplacement d'animaux","trajectory simulation","pedestrian network generation","movement","multimodality","daily mobility","origin-destination matrix","orientation and mobility",,,,,,,,,,,,,,,,,,,,,,
"named entities","reconnaissance d'entités nommées","résolution d'entités spatiales nommées","named entity recognition and linking","spatial named entities recognition","entité nommée spatiale","entités géographiques","recherche d'entité nommée spatiale","reconnaissance d'entité nommée","reconnaissance d'entités nommées spatiales","reconnaissance d'entités nommées spatiales imbriquées","reconnaissance et résolution d'entités nommées","référencement entités nommés","entités géographique maritimes et côtières","french entity linking","spatial named entities linking","spatial named entity linking","entity linking","liage d'entités nommées spatiales","liage d'entités spatiales nommées","ner","nel","nested spatial ner","named entity recognition","entités nommées",,,,,,,,,,,,,,,,,,,
"ocr","reconnaissance de texte","text recognition","reconnaissance optique de caractères","ocr noise","bruit ocr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"open science","open source","open data","open source software","open source geospatial technologies","open-source",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"optimisation","optimization","stochastic optimization","constrained optimization","convex optimization","pseudo-boolean function optimization","riemannian optimization","structured optimization","optimisation sous contraintes","least square optimisation","multi-objective optimisation","optimisation de fonction pseudo-booleenne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pattern","abnormal patterns","patterns","editing patterns","spatio-temporal pattern","spatio-temporal structures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"photogrammetry","photogrammetric software","close range photogrammetry","aerial photogrammetry","photogrammétrie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"point cloud","3d point cloud","point-clouds","lidar point clouds","lidar","airborne lidar data","point","point clouds","airborne lidar","laser scanning","nuage de points","nuages de points","mobile laser scanning","données laser mobiles","lidar mobile","lidar processing","lidar scans","mobile laser scans","3d point clouds","3d point cloud clustering","nuages de points 3d","nuage de points 3d",,,,,,,,,,,,,,,,,,,,,,
"procedural","modélisation procédurale","inverse procedural modeling","procedural modeling","modélisation procédurale inverse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quality","quality assessment","quality control","data quality","data quality assessment","accuracy","accuracy assessment","evaluation","imperfection","imperfections des données","imperfections desdonnées","imperfections","geographic data quality","qualité des données géographiques","hétérogénéités","evaluation de la précision planimétrique","heterogeneities","data heterogeneity and integration","data imperfections",,,,,,,,,,,,,,,,,,,,,,,,,
"radar","optical radar","space-based radar","radar measurement","radar data","radar imaging","synthetic aperture radar","radar altimetry","radar cross section","radar imagery","radar polarimetry","sar data","sar interferometry","radar interferometry","sar","ascat","backscattering","backscattering coefficient","backscatter",,,,,,,,,,,,,,,,,,,,,,,,,
"radiometry","radiometrics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"reconstruction","image reconstruction","3d reconstruction","surface reconstruction","surfaces reconstruction","mesh reconstruction","structure-from-motion","reconstruction de surface","reconstruction 3d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"regularization","régularisation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"remote sensing","remote-sensing","remote sensing data","optical remote sensing","remote","remote-sensing imagery","remote-sensing techniques","remote-sensing data","remote sensing images","radar remote sensing","airborne sensing","airborne data","airborne imagery","airborne sensing","aerial photography","sensor","sensors","satellite","satellites","satellite data","satellite sensor","satellite images","satellite imagery","sentinel","sentinel-1","sentinel-2","hyperspectral imaging","hyperspectral","hyperspectral unmixing","multispectral","spectral bands","télédétection","télédétection hyperspectrale","télédétection urbaine","urban remote sensing","multiangular optical remote sensing","multimodal remote sensing","ocean color remote sensing","remote sensing image correction","remote sensing reflectance","sentinel 2","spot 6",,
"resolution","image resolution","spatial resolution","high spatial resolution","very high resolution","very high spatial resolutions","very high resolution (vhr) image","very-high spatial resolutions","scale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"road","road network","roads and streets","urban streets","street","street canyons","roads","road extraction","road mapping","road modelling","road signs","road-marking","roads network selection","city ring roads","crossroads","mountain road","mountain roads","voirie","street modelling","modélisation de route","modélisation de rue",,,,,,,,,,,,,,,,,,,,,,,
"season","seasonal-variations","seasonality","dry-season length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"segmentation","image segmentation","semantic segmentation","instance segmentation","panoptic segmentation","segmentation panoptique","segmentation sémantique","hierarchical semantic segmentation","instance-level segmentation","marker-controlled watershed segmentation","map vectorization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"segregation","socio-spatial segregation","ségrégation socio-spatiale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"semantics","semantic signatures","semantic analysis","ontology","ontology's","application ontology","ontologies","linked data","data linking","interlinking","web de données ouvertes","schema matching","ontologie spatiale","spatial ontology","ontologie","données liées ouvertes","web sémantique","web de données","data semantics","cross-referencing","liage","vocabulaires","taxonomy","metadata","métadonnées","spatial metadata",,,,,,,,,,,,,,,,,,
"sensitive map","carte sensible","sensitive mapping","perceptive and sensitive map","espace vécu","espace perçu","lived space","perceived space",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"simulation","simulation and analysis","extensive simulations","spatial simulation","simulation agent","simulation models","simulation urbaine","simulation urbaine 3d","simuler","validation of simulation models","epidemiological simulation","simulation spatiale","agent-based simulation","agent","agent -based model","agent model","agent-based modeling","agent-based modelling","agents","agents situés","computer-based simulation","geosimulation","geosimulation models","pedagogy of simulation models","modèle multi-agents","sma","abm","multi-agent systems",,,,,,,,,,,,,,,,
"software","computer software","software engineering","computer software maintenance","tools","application software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"spatial analysis","analyse spatiale","spatial reasoning","spatial relation","relation spatiale étendue","reconnaissance de relations spatiales","relations spatiales","extraction de connaissances spatiales","spatial relationships","spatial relations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"style","topographic style","map style","style classification","color","map design","expressive rendering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sustainability","sustainable cities","sustainability trade-offs","sustainable development goals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"complex systems","systems","systems of cities","urban complexity","system","innovation diffusion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"time series","time series analysis","times series","image time-series",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"topography","topographic information","topographic map","topographie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tourism","tourisme de montagne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"triangulation","delau-nay triangulations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"uav","unmanned aerial vehicles (uav)","unmanned vehicle","autonomous vehicles","aerial vehicles (uavs)","drone","drones","uavs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"urban","ville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"planning","urban development","urban planning","urban morphology","urban growth","urban area","urban areas","urban dynamics","urbanisation","3d urban simulation","règles d'urbanisme","urban regulation","urbanisme réglementaire","plan local d’urbanisme","planning","planning support","planning support tool","zone urbaine","spatial dynamics","evolutions du territoire","participatory urban planning","évolutions urbaines","suburban densification","densification","dynamique","dynamics","constructibilité","dynamiques spatiales","urban fabric","urban participatory e-planning","urban design","architecture","dynamiques urbaines","parcel layout",,,,,,,,,,
"vegetation","vegetation mapping","normalized difference vegetation index","vegetation water contents (vwc)","trees","tree species classification","individual tree","ndvi","vegetation cover","vegetation indexes","biomass","aboveground biomass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"vision","computer vision","vision par ordinateur","robot vision",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"visualisation","visualization","data visualization","geo visualization","geo visualizations","visualizations","3d visualization","geovisualization","3d rendering","géovisualisation","spatio-temporal visualization","rendu","vizualisation","visualisation des données","visualisation géographique","visualisation immersive","visualisation multi-échelle","visualisation techniques","visualization geovisualization","geographic visualization","analyse visuelle",,,,,,,,,,,,,,,,,,,,,,,
"life story","récit de vie","récits de vie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"model exploration","model calibration","model validation","sensitivity","sensitivity analysis","model exploration and validation","incremental modeling","model","models","modeling","modelling","modélisation","model exploration","model coupling","multi-modeling","validation","multiscalar models","exploration de modèle",,,,,,,,,,,,,,,,,,,,,,,,,,
"hpc","calculs distribués","parallelization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pollution","pollution des sols","industrial pollution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"vandalism","vandalisme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mountain rescue","secours en montagne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"perception","human perception",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"collaborative","collaboration","collaborative dashboard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lod","level of detail lod","level of detail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"user feedback","retour utilisateur géospatial","geospatial user feedback",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"archeology","archéologie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"urban project","projets urbains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bike","bikeability bike circulation lane agregation","cyclabilité vélo voie de circulation agrégation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"scaling up","passage à l'échelle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"life cycle analysis","analyse du cycle de vie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"regionalisation","régionalisation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"semantic annotation of tables","annotation sémantique de tables","interprétation sémantique de tables anciennes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cadastre","cadastre ancien",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"museum","musée",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"shap values","valeurs shap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
