keyword,acte,meig,geovis,strudel,total
cahiers citoyens,0,1,0,0,1
community detection,0,1,0,0,1
language models,0,1,0,0,1
climate crisis,0,1,0,0,1
climate fiction,0,1,0,0,1
figurations,0,1,0,0,1
model exploration,0,1,0,0,1
perceptual cartography,0,1,0,0,1
cartographie perceptive,0,1,0,0,1
fiction climatique,0,1,0,0,1
crise climatique,0,1,0,0,1
map description,0,1,1,0,2
accessibility,0,1,1,0,2
topography,0,1,1,0,2
classification,0,0,0,1,1
spatial domain shift,0,0,0,1,1
domain generalization,0,0,0,1,1
average precision,0,0,0,1,1
hierarchical ranking,0,0,0,1,1
hierarchical average precision,0,0,0,1,1
non-decomposable,0,0,0,1,1
ranking,0,0,0,1,1
integrated management,0,1,0,0,1
flood risk,0,1,0,0,1
hydraulic modeling,0,1,0,0,1
lulc,0,1,0,1,2
explainable machine learning,0,1,0,1,2
shap values,0,1,0,1,2
explicabilité de l’apprentissage automatique,0,1,0,1,2
mots-clés  classification de l'usage des sols explicabilité land use classification explainable machine learning data-fusion shap values,0,1,0,1,2
mots-clés  classification de l'usage des sols,0,1,0,1,2
explicabilité land use classification,0,1,0,1,2
schema mapping,0,1,0,0,1
knowledge graph kg,0,1,0,0,1
sustainable development goals sdg,0,1,0,0,1
geographical entities evolution,0,0,0,2,2
historical urban gazetteer,0,0,0,2,2
évolution des entités géographiques,0,0,0,1,1
index géographique urbain historique,0,0,0,1,1
change,0,1,0,1,2
tiling,0,2,1,0,3
compression,0,1,0,0,1
green cartography,0,2,1,0,3
urban tree,0,0,1,0,1
matching,0,1,0,1,2
collaborative platform,0,1,0,1,2
quality metadata,0,1,0,1,2
planning,0,1,0,1,2
building change conceptual model,0,1,0,1,2
semantic interpretation of tables,0,0,0,1,1
historical document analysis,0,0,0,1,1
lidar hd,0,0,0,1,1
archeology,0,0,0,2,2
bassin parisien,0,0,0,1,1
vallée de l’eure,0,0,0,1,1
télédédection,0,0,0,1,1
multi-source images,1,0,0,0,1
relative radiometric normalization,1,0,0,0,1
grand nancy metropolis,0,0,0,1,1
métropole du grand nancy ecological connectivity,0,0,0,1,1
red fox,0,0,0,1,1
landscape graph modeling,0,0,0,1,1
renard roux,0,0,0,1,1
connectivité écologique,0,0,0,1,1
graphab,0,0,0,1,1
modélisation de graphes paysagers,0,0,0,1,1
métropole du grand nancy ecological connectivity red fox graphab landscape graph modeling grand nancy metropolis,0,0,0,1,1
ensemble data,0,0,1,0,1
uncertainty,0,0,1,0,1
visual analysis,0,0,2,0,2
meteo-oceanic data,0,0,1,0,1
meteorological forecasting,0,0,1,0,1
decision making,0,0,1,0,1
web mapping,0,1,1,0,2
green computing,0,1,1,0,2
pre-training,0,0,0,1,1
self-supervised learning remote sensing multimodality pretraining,0,0,0,1,1
pretraining,0,0,0,1,1
stable diffusion,0,0,0,1,1
object detection,0,0,0,1,1
weakly supervised learning,0,0,0,1,1
zero-shot,0,0,0,1,1
art analysis,0,0,0,1,1
eure valley,0,0,0,1,1
archaeology,0,0,0,1,1
geomorphology,0,0,0,1,1
vallée de l'eure,0,0,0,1,1
géomorphologie,0,0,0,1,1
abstracts of the ica,0,1,0,0,1
multi-scale cartography,0,1,0,0,1
sustainability,0,1,0,0,1
benthic habitats,1,0,0,0,1
bathymetry,1,0,0,0,1
desis,1,0,0,0,1
persons with reduced mobility,0,1,0,0,1
citizen science,0,1,0,0,1
cycling network,0,1,0,0,1
data evolution,0,1,0,0,1
multiplex graph,0,1,0,0,1
route generation,0,1,0,0,1
visualization of origin-destination flow data,0,0,1,0,1
visualization of spatio-temporal data,0,0,1,0,1
visualisation de données spatio-temporelles,0,0,1,0,1
visualisation de flux origine-destination,0,0,1,0,1
occlusions,1,0,0,0,1
structured mesh,1,0,0,0,1
textured mesh,1,0,0,0,1
maillage structuré,1,0,0,0,1
3d model,1,0,0,0,1
bike,0,1,0,0,1
scaling up,1,0,0,0,1
3d retrieval scalable retrieval 3d point cloud descriptors differentiable search index dsi lidar-based place recognition,1,0,0,1,2
differentiable search index dsi,1,0,0,1,2
analyse du cycle de vie projets urbains spatialisation régionalisation géodonnées besoins systèmes d'information géographique sig life cycle analysis lca urban projects spatialisation regionalisation geodata geographical information systems gis,0,0,1,0,1
life cycle analysis,0,0,1,0,1
spatialisation,0,0,1,0,1
regionalisation,0,0,1,0,1
besoins,0,0,1,0,1
systèmes d'information géographique sig life cycle analysis lca,0,0,1,0,1
semantic annotation of tables,0,0,0,2,2
cadastre,0,0,0,2,2
dictionnaire,1,0,0,1,2
glossaire,1,0,0,1,2
lexique,1,0,0,1,2
geospatial foundation models earth observation evaluation benchmark self-supervised learning,0,0,0,1,1
geospatial analysis,0,0,0,1,1
